Table 1.B: Regressions With Fixed Effects							
	(1)	(2)	(3)	(4)	(5)	(6)	(7)
							
VARIABLES	10-90	10-50	50-90	10-25	25-50	50-75	75-90
							
wagedist_10_90	0.0402*						
	(0.0229)						
age	0.190***	0.191***	0.310***	0.192***	0.213***	0.312***	0.337***
	(0.0471)	(0.0471)	(0.0406)	(0.0471)	(0.0446)	(0.0406)	(0.0396)
sex	1.028	1.054	-0.307	0.993	-0.0510	-0.277	0.472
	(1.004)	(1.004)	(0.870)	(1.006)	(0.954)	(0.870)	(0.840)
marst	-0.0343	-0.0346	0.696***	-0.0273	0.335	0.695***	0.719***
	(0.238)	(0.238)	(0.203)	(0.238)	(0.225)	(0.203)	(0.196)
educ	0.0468**	0.0468**	0.0279	0.0446**	0.0339*	0.0270	0.0161
	(0.0215)	(0.0216)	(0.0182)	(0.0216)	(0.0197)	(0.0182)	(0.0177)
wagedist_10_50		0.0952					
		(0.0601)					
wagedist_50_90			0.0819***				
			(0.0234)				
wagedist_10_25				-0.499			
				(0.788)			
wagedist_25_50					0.161***		
					(0.0538)		
wagedist_50_75						0.152***	
						(0.0408)	
wagedist_75_90							0.319***
							(0.0829)
Constant	8.687***	8.576***	12.57***	9.585***	10.24***	12.44***	13.27***
	(3.013)	(3.018)	(2.603)	(3.195)	(2.846)	(2.603)	(2.557)
							
Observations	1,941	1,941	4,510	1,941	2,394	4,510	5,271
R-squared	0.015	0.014	0.017	0.013	0.015	0.017	0.017
Standard errors in parentheses							
*** p<0.01, ** p<0.05, * p<0.1							
