Table 2.A: Full Regressions using occ1990							
	(1)	(2)	(3)	(4)	(5)	(6)	(7)
							
VARIABLES	10-90	10-50	50-90	10-25	25-50	50-75	75-90
							
wagedist_10_90	0.0451**						
	(0.0225)						
age	0.1635***	0.1642***	0.3170***	0.1661***	0.2117***	0.3191***	0.3466***
	(0.0551)	(0.0551)	(0.0453)	(0.0551)	(0.0519)	(0.0453)	(0.0437)
sex	0.9682	1.0090	-0.6438	0.8724	-0.6903	-0.6174	0.3362
	(1.1717)	(1.1724)	(0.9709)	(1.1777)	(1.1097)	(0.9707)	(0.9271)
marst	-0.2152	-0.2154	0.6462***	-0.1969	0.3114	0.6441***	0.6189***
	(0.2774)	(0.2774)	(0.2260)	(0.2777)	(0.2613)	(0.2260)	(0.2161)
educ	0.0087	0.0061	0.1252	-0.0013	0.1069	0.1266	0.1405*
	(0.1063)	(0.1063)	(0.0774)	(0.1063)	(0.0900)	(0.0774)	(0.0748)
educ2	0.0004	0.0004	-0.0006	0.0004	-0.0004	-0.0006	-0.0008
	(0.0007)	(0.0007)	(0.0005)	(0.0007)	(0.0006)	(0.0005)	(0.0005)
wagedist_10_50		0.1092*					
		(0.0592)					
wagedist_50_90			0.0668***				
			(0.0242)				
wagedist_10_25				-0.7941			
				(1.1242)			
wagedist_25_50					0.1590***		
					(0.0546)		
wagedist_50_75						0.1252***	
						(0.0421)	
wagedist_75_90							0.2940***
							(0.0842)
Constant	10.5258**	10.4533**	9.9657***	12.0606**	8.4599*	9.7813**	9.5941***
	(5.1100)	(5.1145)	(3.8053)	(5.3123)	(4.4470)	(3.8058)	(3.6927)
							
Observations	1,345	1,345	3,721	1,345	1,779	3,721	4,445
R-squared	0.0182	0.0177	0.0174	0.0156	0.0172	0.0177	0.0181
Standard errors in parentheses							
*** p<0.01, ** p<0.05, * p<0.1							
