Table 2.B: Full Regressions Using floorocc							
	(1)	(2)	(3)	(4)	(5)	(6)	(7)
							
VARIABLES	10-90	10-50	50-90	10-25	25-50	50-75	75-90
							
wagedist_10_90	0.0241						
	(0.0186)						
age	0.1009	0.0977	0.3321***	0.1048	0.1910***	0.3341***	0.3644***
	(0.0646)	(0.0647)	(0.0459)	(0.0646)	(0.0576)	(0.0459)	(0.0434)
sex	1.0431	1.1374	-0.1168	1.1912	1.5231	-0.0154	0.2762
	(1.3841)	(1.3797)	(0.9792)	(1.3817)	(1.2285)	(0.9790)	(0.9173)
marst	-0.2261	-0.2179	0.7265***	-0.2232	0.3541	0.7301***	0.7511***
	(0.3220)	(0.3219)	(0.2285)	(0.3224)	(0.2872)	(0.2286)	(0.2146)
educ	-0.0201	-0.0262	0.2098***	-0.0269	0.0993	0.2133***	0.1733**
	(0.1259)	(0.1257)	(0.0784)	(0.1259)	(0.0955)	(0.0784)	(0.0745)
educ2	0.0005	0.0005	-0.0011**	0.0005	-0.0004	-0.0011**	-0.0010*
	(0.0008)	(0.0008)	(0.0005)	(0.0008)	(0.0007)	(0.0005)	(0.0005)
wagedist_10_50		0.0931					
		(0.0618)					
wagedist_50_90			0.0681***				
			(0.0177)				
wagedist_10_25				0.1554			
				(1.0075)			
wagedist_25_50					0.1422***		
					(0.0504)		
wagedist_50_75						0.1328***	
						(0.0362)	
wagedist_75_90							0.0245
							(0.0152)
Constant	13.9258**	13.9727**	6.1189	13.9485**	6.5058	5.7801	8.7539**
	(5.8895)	(5.8862)	(3.8675)	(6.0479)	(4.6987)	(3.8693)	(3.6884)
							
Observations	946	946	3,808	946	1,533	3,808	4,687
R-squared	0.0112	0.0119	0.0217	0.0095	0.0172	0.0213	0.0177
Standard errors in parentheses							
*** p<0.01, ** p<0.05, * p<0.1							
